"","handles","verein"
"1","hertha-bsc","44"
"2","fortuna-dusseldorf","38"
"3","hamburger-sv","41"
"4","fc-st-pauli","35"
"5","holstein-kiel","269"
"6","1-fc-nurnberg","4"
"7","fc-schalke-04","33"
"8","spvgg-greuther-furth","65"
"9","hannover-96","42"
"10","sv-07-elversberg","64"
"11",NA,NA
"12","1-fc-kaiserslautern","2"
"13","karlsruher-sc","48"
"14","sc-paderborn-07","127"
"15","1-fc-magdeburg","187"
"16","sv-wehen-wiesbaden","108"
"17","eintracht-braunschweig","23"
"18","vfl-osnabruck","81"
"19","fc-hansa-rostock","30"
